Date,Deviations
11.07.2017,214
11.07.2017,275.75
11.07.2017,305.5
11.07.2017,262.5
11.07.2017,236
11.07.2017,218.5
11.07.2017,270.75
11.07.2017,277
11.07.2017,192.75
11.07.2017,187.25
11.07.2017,184
11.07.2017,214
11.07.2017,241.5
11.07.2017,247.25
11.07.2017,233.75
11.07.2017,280
11.07.2017,234.5
11.07.2017,374.75
11.07.2017,323.75
11.07.2017,362.75
11.07.2017,380.75
11.07.2017,333.5
11.07.2017,298.25
11.07.2017,392
11.07.2017,421.25
11.07.2017,426.5
11.07.2017,424
11.07.2017,522.25
11.07.2017,493.5
11.07.2017,500.25
11.07.2017,428.75
11.07.2017,447.5
11.07.2017,298.25
11.07.2017,395.5
11.07.2017,435.75
11.07.2017,563.25
11.07.2017,412
11.07.2017,400.75
11.07.2017,470.5
11.07.2017,517
11.07.2017,669.25
11.07.2017,604.25
11.07.2017,595
11.07.2017,707.5
11.07.2017,785
11.07.2017,851.75
11.07.2017,774.5
11.07.2017,638.75
11.07.2017,534.25
11.07.2017,589
11.07.2017,584.5
11.07.2017,701.5
11.07.2017,644.25
11.07.2017,538.25
11.07.2017,511.25
11.07.2017,519.5
11.07.2017,437.25
11.07.2017,396.25
11.07.2017,431
11.07.2017,448.25
11.07.2017,477
11.07.2017,394
11.07.2017,410
11.07.2017,337.75
11.07.2017,358
11.07.2017,329.25
11.07.2017,261.25
11.07.2017,285
11.07.2017,149.75
11.07.2017,100.5
11.07.2017,98.25
11.07.2017,161.75
11.07.2017,260.5
11.07.2017,229.5
11.07.2017,266.25
11.07.2017,238
11.07.2017,366
11.07.2017,395.25
11.07.2017,375
11.07.2017,407.5
11.07.2017,418.5
11.07.2017,380.25
11.07.2017,367.75
11.07.2017,397.75
12.07.2017,295
12.07.2017,222.5
12.07.2017,184.5
12.07.2017,157.75
12.07.2017,203.25
12.07.2017,174.25
12.07.2017,233.25
12.07.2017,296.75
12.07.2017,260.5
12.07.2017,274.5
12.07.2017,298.25
12.07.2017,283.5
12.07.2017,265.5
12.07.2017,263.75
12.07.2017,261
12.07.2017,284.5
12.07.2017,259
12.07.2017,225
12.07.2017,190.5
12.07.2017,193.75
12.07.2017,198
12.07.2017,250.5
12.07.2017,247
12.07.2017,275
12.07.2017,334.75
12.07.2017,386.5
12.07.2017,371.25
12.07.2017,371.25
12.07.2017,442.5
12.07.2017,341.75
12.07.2017,298.5
12.07.2017,329
12.07.2017,345
12.07.2017,370.5
12.07.2017,361.5
12.07.2017,344.5
12.07.2017,287.25
12.07.2017,259.5
12.07.2017,191.75
12.07.2017,188.5
12.07.2017,199.25
12.07.2017,151.75
12.07.2017,342
12.07.2017,294
12.07.2017,293.75
12.07.2017,255.5
12.07.2017,281.25
12.07.2017,515.75
12.07.2017,376
12.07.2017,305.5
12.07.2017,349.5
12.07.2017,306.5
12.07.2017,409.5
12.07.2017,512.25
12.07.2017,570.75
12.07.2017,525.75
12.07.2017,640
12.07.2017,670.75
12.07.2017,504.25
12.07.2017,352.75
12.07.2017,348.5
12.07.2017,500.5
12.07.2017,432.75
12.07.2017,402.5
12.07.2017,344.5
12.07.2017,464.25
12.07.2017,412.75
12.07.2017,600
12.07.2017,591.5
12.07.2017,704.5
12.07.2017,800
12.07.2017,920.5
12.07.2017,941
12.07.2017,978.5
12.07.2017,967
12.07.2017,652
12.07.2017,496
12.07.2017,469.25
12.07.2017,409
12.07.2017,505.5
12.07.2017,580
12.07.2017,479.75
12.07.2017,525.5
12.07.2017,604.5
12.07.2017,713.25
12.07.2017,566.5
12.07.2017,588
12.07.2017,495.5
12.07.2017,476.25
12.07.2017,415.5
12.07.2017,421
12.07.2017,401.25
12.07.2017,280.25
12.07.2017,363.25
12.07.2017,434.5
12.07.2017,517
13.07.2017,576
13.07.2017,458.5
13.07.2017,448.5
13.07.2017,496.75
13.07.2017,431.25
13.07.2017,402
13.07.2017,349.5
13.07.2017,305.75
13.07.2017,348.5
13.07.2017,265.25
13.07.2017,224
13.07.2017,286
13.07.2017,245
13.07.2017,218.25
13.07.2017,241
13.07.2017,217.75
13.07.2017,192.75
13.07.2017,120.75
13.07.2017,96.25
13.07.2017,64.75
13.07.2017,169.75
13.07.2017,139.75
13.07.2017,137
13.07.2017,208.75
13.07.2017,156.5
13.07.2017,101.75
13.07.2017,54.5
13.07.2017,93
13.07.2017,91.75
13.07.2017,131.25
13.07.2017,78.75
13.07.2017,62.5
13.07.2017,113.75
13.07.2017,170.5
13.07.2017,198.5
13.07.2017,179
13.07.2017,114
13.07.2017,273
13.07.2017,370.25
13.07.2017,325.25
13.07.2017,365.5
13.07.2017,373.75
13.07.2017,463.25
13.07.2017,428.25
13.07.2017,351.25
13.07.2017,387.25
13.07.2017,252.75
13.07.2017,425.25
13.07.2017,184.75
13.07.2017,176.5
13.07.2017,191.5
13.07.2017,147.25
13.07.2017,137.25
13.07.2017,56
13.07.2017,42
13.07.2017,100.25
13.07.2017,1
13.07.2017,213.25
13.07.2017,481.75
13.07.2017,257
13.07.2017,175.5
13.07.2017,256.25
13.07.2017,121.75
13.07.2017,145.75
13.07.2017,42
13.07.2017,-83.5
13.07.2017,-71
13.07.2017,-140
13.07.2017,-38.75
13.07.2017,-99
13.07.2017,-172.5
13.07.2017,-196
13.07.2017,-130.5
13.07.2017,-132.5
13.07.2017,-96.75
13.07.2017,-124
13.07.2017,-156.25
13.07.2017,-206
13.07.2017,-252.5
13.07.2017,-183.25
13.07.2017,-168
13.07.2017,-127
13.07.2017,-51.5
13.07.2017,-139.75
13.07.2017,-48.75
13.07.2017,-137.25
13.07.2017,-40
13.07.2017,2
13.07.2017,-37.75
13.07.2017,-5
13.07.2017,60
13.07.2017,44.5
13.07.2017,112.5
13.07.2017,70.5
13.07.2017,109
13.07.2017,86.75
14.07.2017,-159.75
14.07.2017,-170.5
14.07.2017,-176.5
14.07.2017,-144.75
14.07.2017,-99
14.07.2017,-45.25
14.07.2017,-52.75
14.07.2017,-111.5
14.07.2017,-161
14.07.2017,-165
14.07.2017,-160.5
14.07.2017,-110.75
14.07.2017,-118.75
14.07.2017,-173.75
14.07.2017,-156.5
14.07.2017,-128.5
14.07.2017,-121.5
14.07.2017,-160.5
14.07.2017,-95
14.07.2017,-154
14.07.2017,-106.75
14.07.2017,-58.75
14.07.2017,0.5
14.07.2017,29.25
14.07.2017,-8.5
14.07.2017,-3.25
14.07.2017,26.25
14.07.2017,63.75
14.07.2017,-60.75
14.07.2017,-136
14.07.2017,-171.25
14.07.2017,-199
14.07.2017,-218
14.07.2017,-196.25
14.07.2017,-234.5
14.07.2017,-209.25
14.07.2017,-355.25
14.07.2017,-343
14.07.2017,-348.5
14.07.2017,-315.5
